question1,question2,is_duplicate
How can I save money on a tight budget?,What is the best to way save money on a tight budget?,1
How can I improve my writing skills?,What is quantum computing and its applications?,0
What is deep learning and neural networks?,Please explain deep learning and neural networks?,1
What is the difference between AI and machine learning?,Please explain the difference between AI and machine learning?,1
How can I improve my memory and concentration?,What is the difference between Java and Python?,0
How can I improve my memory and concentration?,What is the best way to improve my memory and concentration?,1
What is deep learning and neural networks?,What are the symptoms of depression?,0
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
How can I lose weight quickly and safely?,What is the best way to lose weight quickly and safely?,1
What are the causes of climate change?,Can describe you the causes of climate change?,1
How do I start a successful business from scratch?,What are the steps to start a successful business from scratch?,1
How can I lose weight quickly and safely?,What is the best way to lose weight quickly and safely?,1
What are the causes of climate change?,Can you describe the causes of climate change?,1
What is the difference between AI and machine learning?,How can I reduce stress and anxiety in daily life?,0
What is the difference between Java and Python?,How do I cook a perfect pasta dish at home?,0
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
What are the symptoms of diabetes?,How can I improve my writing skills?,0
How do I negotiate a salary increase?,What are the steps to negotiate a salary increase?,1
What is the difference between AI and machine learning?,What are the benefits of regular exercise?,0
How do I cook a perfect pasta dish at home?,What is data science and its applications?,0
How do I improve my sleep quality?,What are the steps to improve sleep my quality?,1
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
What is the best way to learn Python programming?,What is deep learning and neural networks?,0
How do I cook a perfect pasta dish at home?,What are the symptoms of diabetes?,0
What is blockchain technology?,Please explain blockchain technology?,1
How can I save money on a tight budget?,What is blockchain technology?,0
What is deep learning and neural networks?,How can I reduce stress and anxiety in daily life?,0
How do I prepare for a job interview?,What are the health benefits of drinking green tea?,0
How can I build a strong personal brand online?,What are the best practices for software development?,0
How can I reduce stress and anxiety in daily life?,What are the symptoms of diabetes?,0
How do I prepare for a job interview?,How can I save money on a tight budget?,0
What are the health benefits of drinking green tea?,Can you describe the health benefits of drinking green tea?,1
How do I prepare for a job interview?,How can I reduce stress and anxiety in daily life?,0
How do I improve my sleep quality?,What is deep learning and neural networks?,0
How do I learn a new language quickly?,What are steps the to learn a new language quickly?,1
What is machine learning and how does it work?,What is blockchain technology?,0
What are the health benefits of drinking green tea?,How do I start a successful business from scratch?,0
How can I reduce stress and anxiety in daily life?,What the is best way to reduce stress and anxiety in daily life?,1
How can I improve my writing skills?,What is the best way to improve my writing skills?,1
How can I build a strong personal brand online?,How can I lose weight quickly and safely?,0
How can I improve my writing skills?,What is the best way improve to my writing skills?,1
What is data science and its applications?,Please explain data science and its applications?,1
How can I be more productive at work?,What are renewable energy sources?,0
What is quantum computing and its applications?,Please explain quantum computing and its applications?,1
What is the difference between Java and Python?,What is the best way to learn Python programming?,0
How do I improve my sleep quality?,What are the steps to my improve sleep quality?,1
How do I cook a perfect pasta dish at home?,How can I save money on a tight budget?,0
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
How can I lose weight quickly and safely?,How do I learn a new language quickly?,0
How can I build a strong personal brand online?,What is the best way to build a strong personal brand online?,1
What are the causes of climate change?,Can you describe the causes of climate change?,1
What is the difference between Java and Python?,How do I learn a new language quickly?,0
How can I improve my writing skills?,How do I learn a new language quickly?,0
How can I be more productive at work?,What is the best way to be more productive at work?,1
What are the benefits of regular exercise?,Can you describe the benefits of regular exercise?,1
How can I reduce stress and anxiety in daily life?,What are renewable energy sources?,0
How do I improve my sleep quality?,How do I negotiate a salary increase?,0
How can I improve my writing skills?,How can I reduce stress and anxiety in daily life?,0
What are renewable energy sources?,What are the health benefits of drinking green tea?,0
How do I improve my English speaking skills?,What are the steps to improve my English speaking skills?,1
How do I improve my sleep quality?,What is the best way to learn Python programming?,0
What is deep learning and neural networks?,What is the best way to learn Python programming?,0
How can I improve my writing skills?,What is the best way to improve my writing skills?,1
How do I learn a new language quickly?,What is data science and its applications?,0
How can I lose weight quickly and safely?,What is the difference between Java and Python?,0
How can I improve my memory and concentration?,What is the way best to improve my memory and concentration?,1
How do I learn a new language quickly?,What are the steps to learn new a language quickly?,1
What is the difference between AI and machine learning?,What are the benefits of regular exercise?,0
What are the benefits of regular exercise?,How does the stock market work?,0
What are the benefits of regular exercise?,How do I cook a perfect pasta dish at home?,0
How can I improve my memory and concentration?,is What the best way to improve my memory and concentration?,1
How can I improve my memory and concentration?,What is machine learning and how does it work?,0
What are the benefits of regular exercise?,Can you describe the benefits of regular exercise?,1
What is deep learning and neural networks?,Please explain deep learning and neural networks?,1
How do I prepare for a job interview?,What are the symptoms of depression?,0
What is machine learning and how does it work?,What are the health benefits of drinking green tea?,0
What is machine learning and how does it work?,What is the difference between AI and machine learning?,0
What are the best practices for software development?,What are the symptoms of depression?,0
What are the benefits of regular exercise?,What is deep learning and neural networks?,0
How can I save money on a tight budget?,How can I lose weight quickly and safely?,0
How do I learn a new language quickly?,What are the best practices for software development?,0
How can I build a strong personal brand online?,What is the best way build to a strong personal brand online?,1
What is the best way to learn Python programming?,What are the symptoms of diabetes?,0
What is the difference between AI and machine learning?,How do I improve my sleep quality?,0
What is the difference between AI and machine learning?,Please explain difference the between AI and machine learning?,1
What are the symptoms of depression?,Can you describe the symptoms of depression?,1
What are the benefits of regular exercise?,What are the symptoms of diabetes?,0
How do I prepare for a job interview?,What are the steps to prepare for a job interview?,1
How do I improve my sleep quality?,What are the steps to improve my sleep quality?,1
How do I improve my sleep quality?,What are the steps to improve my sleep quality?,1
What is data science and its applications?,explain Please data science and its applications?,1
How does the stock market work?,How does the stock market work?,1
What are the causes of climate change?,How can I be more productive at work?,0
What are the best practices for software development?,Can you describe the best practices for software development?,1
What are the health benefits of drinking green tea?,What are the symptoms of depression?,0
How can I be more productive at work?,What is the best way to be more productive at work?,1
How do I improve my sleep quality?,What are the steps to improve my sleep quality?,1
What are the symptoms of depression?,Can you describe the symptoms of depression?,1
What are the best practices for software development?,Can you describe the practices best for software development?,1
What is the difference between Java and Python?,explain Please the difference between Java and Python?,1
How do I negotiate a salary increase?,How can I save money on a tight budget?,0
What is machine learning and how does it work?,How can I be more productive at work?,0
What is data science and its applications?,How can I improve my writing skills?,0
What are the benefits of regular exercise?,What is the best way to learn Python programming?,0
How can I improve my memory and concentration?,is What the best way to improve my memory and concentration?,1
How can I be more productive at work?,What is the best way to be more productive at work?,1
What is the difference between Java and Python?,Please explain the difference between Java and Python?,1
What is blockchain technology?,What is the difference between AI and machine learning?,0
How can I reduce stress and anxiety in daily life?,How do I learn a new language quickly?,0
What is quantum computing and its applications?,Please explain quantum computing and its applications?,1
How do I improve my English speaking skills?,How does the stock market work?,0
What are the best practices for software development?,How can I reduce stress and anxiety in daily life?,0
How can I lose weight quickly and safely?,What is best the way to lose weight quickly and safely?,1
How do I negotiate a salary increase?,How can I save money on a tight budget?,0
How can I be more productive at work?,What is the difference between Java and Python?,0
What are the symptoms of depression?,How can I save money on a tight budget?,0
What are the symptoms of depression?,Can you describe the symptoms of depression?,1
How can I be more productive at work?,What is the best way to be more productive at work?,1
What are the health benefits of drinking green tea?,What is deep learning and neural networks?,0
How can I reduce stress and anxiety in daily life?,What are the causes of climate change?,0
What is the difference between Java and Python?,Please explain the difference between Java and Python?,1
How can I build a strong personal brand online?,How do I cook a perfect pasta dish at home?,0
What is the best way to learn Python programming?,How can I build a strong personal brand online?,0
What is quantum computing and its applications?,What is the difference between Java and Python?,0
What are the health benefits of drinking green tea?,Can you describe the health benefits of drinking green tea?,1
What are the benefits of regular exercise?,How can I reduce stress and anxiety in daily life?,0
What are the best practices for software development?,Can you describe the practices best for software development?,1
How can I build a strong personal brand online?,What is the difference between AI and machine learning?,0
How does the stock market work?,How does the stock market work?,1
How do I cook a perfect pasta dish at home?,What are the steps to cook a perfect pasta dish at home?,1
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
What is data science and its applications?,Please explain data science and its applications?,1
How can I improve my writing skills?,How can I lose weight quickly and safely?,0
How can I lose weight quickly and safely?,How can I be more productive at work?,0
How do I improve my sleep quality?,What are the best practices for software development?,0
How can I save money on a tight budget?,What is the best way save to money on a tight budget?,1
How does the stock market work?,How do I cook a perfect pasta dish at home?,0
How can I improve my memory and concentration?,What is the best way to improve my memory and concentration?,1
What are the causes of climate change?,Can you describe the causes of climate change?,1
What is quantum computing and its applications?,What is the difference between Java and Python?,0
What are the best practices for software development?,Can you describe the best practices for software development?,1
How can I save money on a tight budget?,What is the best way to save money a on tight budget?,1
How can I be more productive at work?,How do I start a successful business from scratch?,0
How does the stock market work?,How can I be more productive at work?,0
What are renewable energy sources?,What are renewable energy sources?,1
What are renewable energy sources?,What is the difference between AI and machine learning?,0
What is the difference between Java and Python?,Please the explain difference between Java and Python?,1
What is data science and its applications?,Please explain data science and its applications?,1
How can I improve my memory and concentration?,What is the best to way improve my memory and concentration?,1
How do I cook a perfect pasta dish at home?,What is quantum computing and its applications?,0
What are the health benefits of drinking green tea?,What is blockchain technology?,0
What is the difference between AI and machine learning?,What are the symptoms of depression?,0
How can I be more productive at work?,How do I improve my English speaking skills?,0
What is the best way to learn Python programming?,What are the symptoms of depression?,0
How can I improve my memory and concentration?,How can I save money on a tight budget?,0
How do I improve my English speaking skills?,What are the steps to improve my English speaking skills?,1
How can I be more productive at work?,What is the best way to be more productive at work?,1
What are renewable energy sources?,What are renewable energy sources?,1
How do I negotiate a salary increase?,How do I improve my English speaking skills?,0
What is machine learning and how does it work?,Please explain machine learning and how does it work?,1
How do I improve my sleep quality?,What are the steps to improve sleep my quality?,1
How can I improve my writing skills?,What is the best way to improve my writing skills?,1
What is the best way to learn Python programming?,What is the most effective approach to learn Python programming?,1
How can I reduce stress and anxiety in daily life?,What is the best way to reduce stress and anxiety in daily life?,1
How can I save money on a tight budget?,What is the best way to save money on a tight budget?,1
What are the health benefits of drinking green tea?,Can you describe the health benefits of drinking green tea?,1
How do I prepare for a job interview?,How can I lose weight quickly and safely?,0
How do I learn a new language quickly?,What are the to steps learn a new language quickly?,1
How can I reduce stress and anxiety in daily life?,What is the best way to reduce stress and anxiety in daily life?,1
What is blockchain technology?,How do I learn a new language quickly?,0
What are the symptoms of depression?,What are the causes of climate change?,0
How can I be more productive at work?,How can I build a strong personal brand online?,0
How do I improve my sleep quality?,What is machine learning and how does it work?,0
How do I improve my English speaking skills?,What the are steps to improve my English speaking skills?,1
What is deep learning and neural networks?,Please explain deep learning and neural networks?,1
How do I prepare for a job interview?,What are the steps prepare to for a job interview?,1
How do I cook a perfect pasta dish at home?,What are the steps to cook a perfect pasta dish at home?,1
How can I be more productive at work?,What are the symptoms of depression?,0
How can I save money on a tight budget?,What is the best way to save money on a tight budget?,1
What is deep learning and neural networks?,What are the symptoms of diabetes?,0
What are renewable energy sources?,What are renewable energy sources?,1
What are the symptoms of depression?,What are renewable energy sources?,0
What is deep learning and neural networks?,What are the benefits of regular exercise?,0
What are the causes of climate change?,What is the difference between Java and Python?,0
How do I improve my English speaking skills?,What are the best practices for software development?,0
What is data science and its applications?,Please explain data and science its applications?,1
What is deep learning and neural networks?,Please explain deep and learning neural networks?,1
How do I improve my sleep quality?,What are the benefits of regular exercise?,0
What is the difference between Java and Python?,Please explain the difference between Java and Python?,1
What is the difference between AI and machine learning?,Please explain the difference between AI and machine learning?,1
What is the difference between AI and machine learning?,How can I reduce stress and anxiety in daily life?,0
How do I prepare for a job interview?,How do I learn a new language quickly?,0
How do I learn a new language quickly?,What the are steps to learn a new language quickly?,1
How can I improve my memory and concentration?,What is deep learning and neural networks?,0
What is deep learning and neural networks?,Please explain deep learning and neural networks?,1
What is data science and its applications?,How do I prepare for a job interview?,0
How can I be more productive at work?,What is machine learning and how does it work?,0
How can I improve my memory and concentration?,What is the difference between Java and Python?,0
How can I build a strong personal brand online?,What is the difference between AI and machine learning?,0
How can I improve my writing skills?,What is data science and its applications?,0
How do I improve my English speaking skills?,What is the difference between AI and machine learning?,0
What are the health benefits of drinking green tea?,What are the causes of climate change?,0
What are the health benefits of drinking green tea?,How can I lose weight quickly and safely?,0
How can I build a strong personal brand online?,What are the benefits of regular exercise?,0
What is data science and its applications?,Please explain data science and its applications?,1
What are the health benefits of drinking green tea?,Can you describe the health benefits of drinking green tea?,1
What are the health benefits of drinking green tea?,How can I reduce stress and anxiety in daily life?,0
What are the health benefits of drinking green tea?,Can you describe the health benefits of drinking green tea?,1
How can I improve my writing skills?,How do I improve my sleep quality?,0
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
What is the difference between AI and machine learning?,What are the symptoms of depression?,0
How can I build a strong personal brand online?,What is the best way to build a strong personal brand online?,1
What are the causes of climate change?,Can you describe the causes of climate change?,1
What is machine learning and how does it work?,How do I prepare for a job interview?,0
How do I improve my sleep quality?,How can I lose weight quickly and safely?,0
What is the difference between AI and machine learning?,How can I be more productive at work?,0
What is the best way to learn Python programming?,What is the most effective approach to learn Python programming?,1
How do I improve my sleep quality?,What are the causes of climate change?,0
How can I lose weight quickly and safely?,What is the best way to lose weight quickly and safely?,1
How do I improve my English speaking skills?,What are the steps to improve my speaking English skills?,1
How can I reduce stress and anxiety in daily life?,What is the best way to reduce stress and anxiety in daily life?,1
What is deep learning and neural networks?,How can I improve my writing skills?,0
What is blockchain technology?,What is data science and its applications?,0
What is the difference between AI and machine learning?,What are the symptoms of diabetes?,0
How do I improve my sleep quality?,What are the steps to improve my sleep quality?,1
What is blockchain technology?,Please explain blockchain technology?,1
How can I improve my writing skills?,What is the best way to improve my writing skills?,1
What are the causes of climate change?,Can you describe causes the of climate change?,1
How can I improve my memory and concentration?,What is the best way to improve my memory and concentration?,1
What are the symptoms of depression?,Can you describe the symptoms of depression?,1
What is quantum computing and its applications?,Please explain quantum and computing its applications?,1
How do I start a successful business from scratch?,What are the steps to start a successful business from scratch?,1
What are the symptoms of depression?,Can you describe the symptoms of depression?,1
What is quantum computing and its applications?,Please explain quantum computing and its applications?,1
What is the difference between AI and machine learning?,What is the best way to learn Python programming?,0
What is data science and its applications?,What are the symptoms of diabetes?,0
How can I lose weight quickly and safely?,What is the best way to lose weight quickly and safely?,1
What is the difference between AI and machine learning?,Please explain the difference between and AI machine learning?,1
How can I improve my memory and concentration?,is What the best way to improve my memory and concentration?,1
What is the difference between Java and Python?,How do I learn a new language quickly?,0
What are renewable energy sources?,What is deep learning and neural networks?,0
What is deep learning and neural networks?,How do I improve my sleep quality?,0
How can I improve my memory and concentration?,How do I prepare for a job interview?,0
How do I learn a new language quickly?,What are the symptoms of diabetes?,0
How do I prepare for a job interview?,What is the difference between AI and machine learning?,0
What are renewable energy sources?,What are renewable energy sources?,1
What is the difference between AI and machine learning?,Please explain the difference between AI and machine learning?,1
What are the health benefits of drinking green tea?,What is deep learning and neural networks?,0
How do I start a successful business from scratch?,What are the steps to start a successful business from scratch?,1
How do I improve my sleep quality?,What are the steps to improve my sleep quality?,1
How can I save money on a tight budget?,How can I reduce stress and anxiety in daily life?,0
How can I lose weight quickly and safely?,What is blockchain technology?,0
What is the difference between Java and Python?,What is data science and its applications?,0
How do I prepare for a job interview?,How can I lose weight quickly and safely?,0
What is data science and its applications?,How can I be more productive at work?,0
What is data science and its applications?,What are renewable energy sources?,0
What are the causes of climate change?,How can I lose weight quickly and safely?,0
What are the causes of climate change?,How can I lose weight quickly and safely?,0
How do I cook a perfect pasta dish at home?,How can I improve my writing skills?,0
How do I start a successful business from scratch?,What is blockchain technology?,0
How can I improve my memory and concentration?,What is the best way to improve my memory and concentration?,1
What is machine learning and how does it work?,Please explain machine learning and how does it work?,1
What is machine learning and how does it work?,How can I build a strong personal brand online?,0
How can I reduce stress and anxiety in daily life?,What is best the way to reduce stress and anxiety in daily life?,1
What is deep learning and neural networks?,How can I improve my writing skills?,0
How do I cook a perfect pasta dish at home?,How can I save money on a tight budget?,0
How can I be more productive at work?,What is the best way to be more productive at work?,1
How do I improve my sleep quality?,What are the steps to my improve sleep quality?,1
What is data science and its applications?,Please explain data science and its applications?,1
What are the symptoms of depression?,How do I cook a perfect pasta dish at home?,0
What is blockchain technology?,How do I prepare for a job interview?,0
How can I be more productive at work?,is What the best way to be more productive at work?,1
What are the health benefits of drinking green tea?,What is blockchain technology?,0
What are the causes of climate change?,Can you describe the causes of climate change?,1
What are renewable energy sources?,What are renewable energy sources?,1
How do I learn a new language quickly?,What the are steps to learn a new language quickly?,1
How can I improve my memory and concentration?,What is the best way to improve my memory and concentration?,1
What are the best practices for software development?,What are the causes of climate change?,0
What are the health benefits of drinking green tea?,How do I improve my English speaking skills?,0
How can I save money on a tight budget?,is What the best way to save money on a tight budget?,1
How do I negotiate a salary increase?,What are the steps to negotiate a salary increase?,1
What are the best practices for software development?,What is the difference between Java and Python?,0
How can I improve my memory and concentration?,What is the best way to improve my memory and concentration?,1
What is deep learning and neural networks?,Please deep explain learning and neural networks?,1
How can I save money on a tight budget?,What are renewable energy sources?,0
How can I improve my memory and concentration?,What is best the way to improve my memory and concentration?,1
What are the symptoms of diabetes?,Can describe you the symptoms of diabetes?,1
How do I start a successful business from scratch?,What is the best way to learn Python programming?,0
How do I prepare for a job interview?,What are the best practices for software development?,0
How can I reduce stress and anxiety in daily life?,What are the causes of climate change?,0
How can I improve my writing skills?,What is the best way to improve my writing skills?,1
How can I improve my writing skills?,What is the best way to my improve writing skills?,1
What is the best way to learn Python programming?,What is the most effective approach to learn Python programming?,1
How can I save money on a tight budget?,What is the best way to save money on a tight budget?,1
What are renewable energy sources?,What are renewable energy sources?,1
How does the stock market work?,How the does stock market work?,1
How can I improve my memory and concentration?,How can I reduce stress and anxiety in daily life?,0
What is machine learning and how does it work?,Please explain machine learning and how does it work?,1
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
How can I save money on a tight budget?,What is the best way to save money on a tight budget?,1
What is the best way to learn Python programming?,What are the health benefits of drinking green tea?,0
How can I improve my memory and concentration?,How can I improve my writing skills?,0
How can I be more productive at work?,How can I reduce stress and anxiety in daily life?,0
How do I improve my sleep quality?,are What the steps to improve my sleep quality?,1
How can I lose weight quickly and safely?,How can I be more productive at work?,0
How do I learn a new language quickly?,How can I reduce stress and anxiety in daily life?,0
How do I prepare for a job interview?,How can I improve my writing skills?,0
What is data science and its applications?,How can I improve my writing skills?,0
How can I reduce stress and anxiety in daily life?,What is data science and its applications?,0
What are the symptoms of depression?,How do I cook a perfect pasta dish at home?,0
How can I save money on a tight budget?,What are the causes of climate change?,0
How can I improve my writing skills?,What is the best way to improve my writing skills?,1
How does the stock market work?,What are the symptoms of depression?,0
What is the best way to learn Python programming?,What is the most effective approach to learn Python programming?,1
What is the difference between AI and machine learning?,What is quantum computing and its applications?,0
How do I improve my English speaking skills?,What are the steps to improve my English speaking skills?,1
What is data science and its applications?,Please explain data science and its applications?,1
What are the health benefits of drinking green tea?,What are the causes of climate change?,0
What are the health benefits of drinking green tea?,Can you describe the health benefits drinking of green tea?,1
How do I improve my sleep quality?,What the are steps to improve my sleep quality?,1
How do I learn a new language quickly?,What are the steps to learn new a language quickly?,1
What is the best way to learn Python programming?,What are the benefits of regular exercise?,0
What are the best practices for software development?,What is deep learning and neural networks?,0
How does the stock market work?,How does the stock market work?,1
What is blockchain technology?,Please explain blockchain technology?,1
How do I cook a perfect pasta dish at home?,How do I improve my sleep quality?,0
What are the causes of climate change?,How can I improve my writing skills?,0
